Date,Amount,Description,Balance,Subcategory,Category
2024-06-30,-3.4,Provender Australia SilverwateNSWAU,1987.25,Vending Machine,Food
2024-06-30,-3.4,Provender Australia SilverwateNSWAU,1990.65,Vending Machine,Food
2024-06-29,-43.33,Ho Jiak Haymarket Haymarket AU,1994.05,Restaurants,Food
2024-06-29,-3.4,PROVENDER HOLDINGS AUS Waterloo AU AUS Card xx1037 Value Date: 27/06/2024,2037.38,Vending Machine,Food
2024-06-28,-15.24,CHICKEN V SEOUL PTY WENTWORTH POINSWAU,2040.78,Restaurants,Food
2024-06-28,-0.53,International Transaction Fee Value Date: 26/06/2024,2056.02,Student Fees,Education
2024-06-28,-15.06,WWW.SYMBOLAB.COM REDWOOD CITY CA USA Card xx1037 USD 9.99 Value Date: 26/06/2024,2056.55,Online Subscriptions,Technology and Services
2024-06-28,-1.16,International Transaction Fee Value Date: 26/06/2024,2071.61,Student Fees,Education
2024-06-28,-33.17,OPENAI *CHATGPT SUBSCR SAN FRANCISCO CA USA Card xx1037 USD 22.00 Value Date: 26/06/2024,2072.77,Online Subscriptions,Technology and Services
2024-06-28,-23.34,PANCAKES ON THE ROCKS HAYMARKET NS AUS Card xx1037 Value Date: 26/06/2024,2105.94,Restaurants,Food
2024-06-27,-3.4,Provender Australia SilverwateNSWAU Value Date: 28/06/2024,2129.28,Vending Machine,Food
2024-06-27,-7.9,STARBUCKS COFFEE B00 SYDNEY AU,2132.68,Coffee,Food
2024-06-27,-35.0,TIMEZONE HAYMARKET AU Card xx1037,2140.58,Entertainment,Activities
2024-06-27,-5.08,Kensington Investment Chippendale AU,2175.58,Rent,Living Expenses
2024-06-27,-15.15,Kensington Investment Chippendale AU,2180.66,Rent,Living Expenses
2024-06-27,-31.8,NANDOS BROADWAY NSW Broadway AU AUS Card xx1037 Value Date: 25/06/2024,2195.81,Restaurants,Food
2024-06-27,-21.5,ICC Darling Harbour Sydney NS AUS Card xx1037 Value Date: 25/06/2024,2227.61,Entertainment,Activities
2024-06-27,-47.0,SCRIMBA OSLO DU NOR Card xx1037 AUD 47.00 Value Date: 26/06/2024,2249.11,Online Subscriptions,Technology and Services
2024-06-27,-10.0,TRANSPORTFORNSW OPAL CHIPPENDALE AUS Card xx1037 Value Date: 26/06/2024,2296.11,Transport,Living Expenses
2024-06-27,-4.2,Provender Australia SilverwateNSWAU,2306.11,Vending Machine,Food
2024-06-27,-3.2,Provender Australia SilverwateNSWAU,2310.31,Vending Machine,Food
2024-06-27,-3.4,Provender Australia SilverwateNSWAU,2313.51,Vending Machine,Food
2024-06-26,-20.28,FISH MARKET CAFE PYRMONT NS AUS Card xx1037 Value Date: 24/06/2024,2316.91,Restaurants,Food
2024-06-26,-0.26,International Transaction Fee Value Date: 24/06/2024,2337.19,Student Fees,Education
2024-06-26,-7.54,A MEDIUM CORPORATION 4155085008 CA USA Card xx1037 USD 5.00 Value Date: 24/06/2024,2337.45,Online Subscriptions,Technology and Services
